time;queuedNum
"1622639587294";"0"
"1622639588293";"20"
"1622639589290";"35"
"1622639590290";"0"
"1622639591290";"0"
"1622639592290";"6"
"1622639593290";"20"
"1622639594291";"0"
"1622639595290";"0"
"1622639596290";"0"
"1622639597291";"18"
"1622639598290";"0"
"1622639599290";"0"
"1622639600290";"0"
"1622639601290";"10"
"1622639602291";"0"
"1622639603291";"0"
"1622639604290";"0"
"1622639605290";"6"
"1622639606291";"0"
"1622639607290";"0"
"1622639608289";"0"
"1622639609290";"8"
"1622639610291";"0"
"1622639611291";"0"
"1622639612291";"0"
"1622639613290";"1"
"1622639614290";"20"
"1622639615291";"0"
"1622639616291";"0"
"1622639617290";"0"
"1622639618289";"15"
"1622639619290";"0"
"1622639620290";"0"
"1622639621290";"0"
"1622639622289";"20"
"1622639623291";"0"
"1622639624290";"0"
"1622639625290";"16"
"1622639626290";"0"
"1622639627290";"0"
"1622639628289";"20"
"1622639629291";"0"
"1622639630289";"0"
"1622639631292";"26"
"1622639632290";"0"
"1622639633289";"15"
"1622639634291";"0"
"1622639635291";"5"
"1622639636291";"0"
"1622639637291";"0"
"1622639638290";"0"
"1622639639292";"30"
"1622639640290";"1"
"1622639641291";"35"
"1622639642289";"10"
"1622639643290";"0"
"1622639644289";"19"
"1622639645290";"0"
"1622639646290";"36"
"1622639647290";"16"
"1622639648289";"0"
"1622639649289";"33"
"1622639650290";"19"
"1622639651289";"0"
"1622639652291";"43"
"1622639653289";"27"
"1622639654289";"17"
"1622639655289";"4"
"1622639656290";"0"
"1622639657289";"0"
"1622639658292";"35"
"1622639659290";"33"
"1622639660290";"29"
"1622639661289";"34"
"1622639662289";"30"
"1622639663289";"32"
"1622639664292";"33"
"1622639665289";"36"
"1622639666289";"44"
"1622639667290";"46"
"1622639668290";"53"
"1622639669289";"48"
"1622639670289";"45"
"1622639671291";"57"
"1622639672290";"61"
"1622639673292";"64"
"1622639674290";"67"
"1622639675290";"79"
"1622639676289";"91"
"1622639677292";"91"
"1622639678289";"102"
"1622639679289";"112"
"1622639680292";"118"
"1622639681292";"132"
"1622639682292";"146"
"1622639683291";"163"
"1622639684289";"185"
"1622639685291";"201"
"1622639686290";"218"
"1622639687290";"238"
"1622639688290";"255"
"1622639689291";"276"
"1622639690289";"300"
"1622639691291";"325"
"1622639692289";"347"
"1622639693290";"375"
"1622639694290";"406"
"1622639695290";"432"
"1622639696290";"465"
"1622639697290";"497"
"1622639698290";"534"
"1622639699291";"568"
"1622639700290";"601"
"1622639701291";"636"
"1622639702289";"670"
"1622639703292";"710"
"1622639704289";"757"
"1622639705291";"795"
"1622639706290";"830"
"1622639707289";"870"
"1622639708290";"922"
"1622639709292";"959"
"1622639710290";"998"
"1622639711290";"1041"
"1622639712290";"1088"
"1622639713290";"1128"
"1622639714289";"1167"
"1622639715291";"1216"
"1622639716290";"1258"
"1622639717290";"1307"
"1622639718290";"1350"
"1622639719292";"1388"
"1622639720292";"1436"
"1622639721290";"1479"
"1622639722290";"1522"
"1622639723290";"1568"
"1622639724289";"1605"
"1622639725290";"1646"
"1622639726293";"1690"
"1622639727289";"1736"
"1622639728291";"1778"
"1622639729290";"1826"
"1622639730290";"1872"
"1622639731290";"1912"
"1622639732290";"1952"
"1622639733291";"1995"
"1622639734290";"2036"
"1622639735290";"2080"
"1622639736290";"2132"
"1622639737291";"2174"
"1622639738290";"2064"
"1622639739292";"1955"
"1622639740290";"1848"
"1622639741289";"1736"
"1622639742292";"1625"
"1622639743290";"1515"
"1622639744290";"1407"
"1622639745289";"1294"
"1622639746290";"1183"
"1622639747292";"1077"
"1622639748290";"966"
"1622639749292";"853"
"1622639750289";"743"
"1622639751290";"634"
"1622639752289";"524"
"1622639753291";"409"
"1622639754290";"302"
"1622639755291";"189"
"1622639756291";"81"
"1622639757290";"0"
"1622639758291";"0"
"1622639759290";"0"
"1622639760290";"0"
"1622639761291";"0"
"1622639762291";"0"
"1622639763290";"0"
"1622639764291";"0"
"1622639765290";"0"
"1622639766291";"0"
"1622639767290";"0"
"1622639768291";"0"
"1622639769290";"0"
"1622639770291";"0"
